%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1490728683461035966,21058,1490728683461035966,,-0.0353393554688,0.0107421875,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81776666667e-05,9.69627777778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683496119976,21059,1490728683496119976,,-0.0353393554688,0.0107421875,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81776666667e-05,1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.03,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683534595012,21060,1490728683534595012,,-0.0353393554688,0.0106811523438,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.87851111111e-05,-0.000135747888889,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,-0.04,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683561399936,21061,1490728683561399936,,-0.0353393554688,0.0106811523438,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93925555556e-05,1.93925555556e-05,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683605366945,21062,1490728683605366945,,-0.0352783203125,0.010986328125,-0.433715820312,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250163966667,1.93925555556e-05,-7.75702222222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683645195960,21063,1490728683645195960,,-0.0352172851562,0.0108642578125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00254042477778,-9.69627777778e-05,0.000387851111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.21,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683681370019,21064,1490728683681370019,,-0.0352172851562,0.0108032226562,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000116355333333,0.000116355333333,0.000174533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683717065095,21065,1490728683717065095,,-0.0352172851562,0.0108642578125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.87851111111e-05,0.0,5.81776666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683749617099,21066,1490728683749617099,,-0.0352783203125,0.0107421875,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00252103222222,-0.000116355333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,-0.05,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683786863088,21067,1490728683786863088,,-0.0352783203125,0.0108032226562,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93925555556e-05,0.000193925555556,-1.93925555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490728683829912900,21068,1490728683829912900,,-0.0352172851562,0.010986328125,-0.433776855469,0.900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248224711111,-0.000135747888889,3.87851111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
